product_id,title,category,description,age_range,colors,specifications,images,price,discount_price,stock_status,warranty,created_at
GURTOY-GBO-001,Gurtoy Battery Operated Foot Accelerator Ride-On Scooter,Electric Bikes & Scooters for Kids,"Get ready for thrilling adventures with the Gurtoy Ride-On Scooter! Packed with features, this scooter offers a fun and safe ride for kids. • Vibrant multicolor lights for exciting rides! • Easy foot accelerator for safe driving! • Durable design for endless fun and play!",3+ years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/6a19a40c-4421-4bb4-aa7e-765273608b54.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/5124f31d-9d1e-43aa-a41f-4a07ec4ccf53.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/84d0bebd-bb53-4dbf-aa1f-ea040ae0427f.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/89ff3edf-ef23-4729-bc10-246fde656666.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/4e42552a-8a3c-4626-9f80-5edef3abfe6f.png""]",7000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.264647
GURTOY-GPS-002,GURTOY® Police Style 3-Wheel Electric Bike for Kids,Electric Bikes & Scooters for Kids,"Unleash adventure with the Gurtoy Police Style Bike, designed for fun and safety! This vibrant blue ride-on features a simple pedal for easy control. - Safe and stable with three-wheel design for secure rides. - Realistic lights and sounds for an authentic police experience. - Easy foot pedal operation, perfect for young riders.",3-7 years,"[""Blue""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/46cd5d92-213d-4866-90e3-25664402963b.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/67983352-05ab-4216-aef6-d0de5f8db504.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/91897600-72a8-4567-be9b-e780ddfd6be9.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/65018210-e512-4e45-afd7-378e0d2955eb.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/e8c12051-9a9c-40a0-b798-f5f6a8edb733.png""]",17000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.265761
GURTOY-GER-003,GurToy Electric Ride-On Motorbike for Kids,Electric Bikes & Scooters for Kids,"Ignite your child's imagination with the GurToy Electric Ride-On Motorbike! Designed for adventurous young riders, this bike combines fun features with safety. - Powerful 12V battery for thrilling rides. - Engaging music and sound effects for endless fun. - Bright LED lights for enhanced visibility.",3-8 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/7b9a679f-45cf-4400-8213-1eb511634b1c.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/523e2fbd-c5c5-412c-9e60-60cb581da4b5.png""]",31000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.266935
GURTOY-GEB-004,Gurtoy Electric Bullet Bike for Kids – Red & Green,Electric Bikes & Scooters for Kids,Let your little one embark on exciting adventures with the Gurtoy Electric Bullet Bike! This vibrant ride-on toy is perfect for young explorers. - **Ideal for Young Adventurers** - Designed for kids aged 1-4 years for safe play. - **Vibrant Colour Options** - Bright red and green colours to spark joy. - **User-Friendly Controls** - Simple push-button operation for easy riding.,1-4 years,"[""Red"", ""Green""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/449343ac-8f5a-4108-b1c2-c5c13b7ba42a.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/c2c3fadf-41ee-4539-84b1-08cef988f640.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/aea3fa34-ab9a-4a80-9be8-5c393c548eb5.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/1b5085b0-e577-4d9e-b14a-d5b2666362c7.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/5dd6ed89-455f-4673-a17d-0135cc4d8454.png""]",9658,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.267323
GURTOY-GEP-005,Gurtoy Electric Pink Jeep - Adventure Awaits!,Electric Ride-On Jeeps & Cars for Kids,"Let your child's imagination soar with the Gurtoy Electric Pink Jeep. Perfect for little adventurers, this ride-on vehicle combines fun with safety. • Powerful electric motor for a thrilling ride. • Realistic tractor design with rugged tires. • Easy controls for young drivers.",1-6 years,"[""Pink""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/90c48e2d-8779-48bc-98b1-a3f6a2380fdf.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/f37adcb7-1443-416a-85a4-d476b24dd516.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/3bb14dd8-896a-40d0-af6f-f9aa8a087c02.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/88885ebf-3513-42dd-b7f6-95d7cd62df16.png""]",17000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.267634
GURTOY-GER-006,GURTOY® Electric Ride-On Scooter for Kids | Red 2-Seater,Electric Bikes & Scooters for Kids,"Let your kids explore the thrill of adventure with the Gurtoy Electric Ride-On Scooter! This vibrant red scooter is perfect for two little riders, ensuring fun and safety. - Perfect for two kids, encouraging social play together. - Built-in music makes every ride entertaining and lively. - Stunning LED lights enhance visibility and excitement.",3-8 years,"[""Red""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/28f45e2a-d984-4a95-bf2e-8be446459fa7.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/3c1b2103-ec24-4f5e-a559-47c934add23e.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/a2bda14e-acec-489c-8bb9-dd42c426f61b.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/f3d56fd0-d50a-4767-b3e3-4250b6265a0b.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/7a2a65f8-1cf9-40a9-8c32-a21a6de284a7.png""]",19000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.267913
GURTOY-GER-007,Gurtoy Electric Ride-On Sports Bike for Kids,Electric Bikes & Scooters for Kids,"Ignite your child's imagination with the Gurtoy Electric Ride-On Sports Bike! Designed for young adventurers, this stylish motorcycle promises thrilling rides and endless fun. - Powerful 12V Battery: Ensures long-lasting rides without interruptions. - Vibrant LED Lights: Brighten up their journey for added excitement. - Safety Training Wheels: Provides stability for beginner riders.",3-8 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/21820f4f-e971-43b4-aaba-1ba72e0abcf6.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/08f4d3d6-2cd3-490d-852a-83b06f4082c2.png""]",29000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.268265
GURTOY-G2E-008,Gurtoy 2188 Electric Ride-On Jeep for Kids,Electric Ride-On Jeeps & Cars for Kids,"Embark on thrilling adventures with the Gurtoy 2188 Electric Ride-On Jeep! Perfect for little explorers, this stylish jeep offers fun and safety in every ride. - Realistic design for an authentic driving experience! - Rechargeable battery ensures hours of exciting playtime! - Built-in safety features for worry-free adventures!",1-5 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/1625a2b7-0f85-44f1-bb6d-e640d15a4677.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/4f9c1724-24a0-4582-95b8-be7c4d29e80d.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/e12c1293-9420-4d68-ab59-72ccd1ad6195.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/fd22c841-89a8-43a9-b4b0-56782f24df50.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/d3d49190-67ec-4055-955c-186c176d71f1.png""]",25000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.268605
GURTOY-G4E-009,Gurtoy 4X4 Electric Ride-On Jeep for Kids,Electric Ride-On Jeeps & Cars for Kids,The Gurtoy 4X4 Electric Ride-On Jeep is perfect for adventurous toddlers! This stylish battery-powered vehicle combines safety and fun for outdoor exploration. - Luxury 4X4 design for rugged adventures! - Bright LED lights for exciting rides! - Built-in music to keep little ones entertained!,1-4 years,"[""Red""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/795040e2-1d34-4997-a59f-8625b5ffb972.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/a36b8703-70fa-45e9-8732-0b5ab84ec9d5.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/189ecccb-05bf-4931-9312-3b2f2261e0cd.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/d9cf151a-d46e-42f3-ac1d-626f8bd4416f.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/2c9a41cb-256a-41ac-a0e2-c635623916cc.png""]",17000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.268983
GURTOY-GKB-010,Gurtoy Kids Battery Operated Bolt Bike,Electric Bikes & Scooters for Kids,"The Gurtoy Bolt Bike brings joy and adventure to your child's playtime! Designed for little riders, this bike ensures safe and exciting journeys. - Battery operated for hours of fun! - Bright colours and cool design to inspire imagination! - Engaging sounds and lights for a thrilling ride!",1-3 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/aea34292-2fdc-4da7-9667-a268035c4bc9.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/979858af-c508-4253-8eda-49f9c6f08a40.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/39052e9f-d99c-4dbb-b652-d69874993416.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/695a00d0-0ca8-4703-8860-24a16bd11255.png""]",6000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.269468
